Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,AVGO,ORCL,ADBE,CRM,CSCO,ACN,AMD,INTC,QCOM,TXN,IBM,INTU,AMAT,MU,LRCX,ADI,KLAC,SNPS,BRK-B,JPM,V,MA,BAC,WFC,MS,GS,SPGI,BLK,AXP,C,SCHW,CB,MMC,PGR,AON,CME,ICE,COF,UNH,JNJ,LLY,ABBV,MRK,TMO,ABT,DHR,PFE,BMY,AMGN,GILD,CVS,CI,MDT,ISRG,REGN,VRTX,ZTS,ELV,WMT,HD,MCD,NKE,COST,PG,KO,PEP,LOW,SBUX,TJX,BKNG,MAR,PM,MDLZ,XOM,CVX,COP,SLB,EOG,UPS,RTX,HON,CAT,BA,UNP,GE,LMT,DE,MMM,DUK,SO,NEE,D,AEP
2023-06-01,177.93014526367188,326.3394470214844,122.8725357055664,122.7699966430664,39.73918533325195,270.9397277832031,207.52000427246094,76.21728515625,102.93903350830078,426.75,210.68374633789062,46.27333068847656,293.8537292480469,119.47000122070312,30.508155822753906,110.18473052978516,162.91578674316406,119.39152526855469,415.4132995605469,131.88926696777344,68.2647933959961,60.38994598388672,172.66586303710938,442.3163146972656,454.54998779296875,323.1199951171875,129.73098754882812,222.30435180664062,365.58099365234375,26.18601417541504,37.56703567504883,75.40135192871094,299.2659606933594,362.5317077636719,629.7379760742188,157.88861083984375,41.048152923583984,50.873348236083984,181.74485778808594,167.9562225341797,124.7801284790039,306.37109375,162.695556640625,103.06146240234375,102.06193542480469,472.1212158203125,144.0631561279297,428.7360534667969,121.80192565917969,102.8126449584961,515.4880981445312,97.91937255859375,203.70257568359375,32.60451126098633,57.550968170166016,198.2512664794922,69.68802642822266,62.35213088989258,242.26873779296875,76.2354965209961,310.5400085449219,727.1371459960938,323.6199951171875,161.47378540039062,447.5656433105469,47.84394836425781,272.83819580078125,271.7440185546875,99.18305969238281,493.86444091796875,135.1378173828125,55.632205963134766,168.9279327392578,194.11917114257812,91.58866882324219,74.11798095703125,2513.747314453125,166.97030639648438,80.32308197021484,68.91069793701172,94.76165771484375,136.65325927734375,91.69429016113281,42.25118637084961,98.99886322021484,146.74647521972656,88.96765899658203,173.10044860839844,200.67276000976562,207.9600067138672,185.93707275390625,82.43992614746094,423.0228576660156,340.32122802734375,72.53353118896484,79.87032318115234,63.26519012451172,67.7268295288086,43.78050231933594,74.52496337890625
2023-06-02,178.77980041503906,329.1065368652344,123.8160171508789,124.25,39.296531677246094,270.9397277832031,213.97000122070312,78.3447265625,102.84191131591797,436.3699951171875,210.8124237060547,46.533809661865234,299.81353759765625,117.86000061035156,30.684560775756836,109.98497009277344,162.37831115722656,121.78266906738281,423.6502380371094,131.69366455078125,68.3438491821289,59.786888122558594,172.90626525878906,447.7215576171875,449.3599853515625,329.4800109863281,132.4561004638672,224.55194091796875,368.3902893066406,27.06264877319336,38.673606872558594,77.49608612060547,306.12335205078125,369.4484558105469,641.9967041015625,163.5552520751953,42.40299606323242,52.48546600341797,186.2570343017578,169.86282348632812,125.91775512695312,308.10894775390625,167.46743774414062,104.62139892578125,106.14479064941406,477.81195068359375,146.3284149169922,434.4722900390625,124.93276977539062,104.28630065917969,516.242431640625,99.23358917236328,205.39215087890625,32.89608383178711,58.422950744628906,201.76718139648438,71.22423553466797,63.35691833496094,245.74896240234375,77.16597747802734,312.17999267578125,735.8688354492188,333.7799987792969,167.1934356689453,453.91632080078125,48.30158615112305,279.98101806640625,275.1224365234375,103.49451446533203,493.8548889160156,137.54092407226562,56.707759857177734,170.66180419921875,199.72607421875,93.4482421875,75.52974700927734,2588.322021484375,172.9021759033203,81.76634216308594,69.52857208251953,96.9620132446289,140.33541870117188,94.29228973388672,43.93258285522461,102.44986724853516,148.7662811279297,90.84932708740234,177.55612182617188,217.52745056152344,213.32000732421875,188.7686767578125,83.32992553710938,427.55712890625,358.1784973144531,78.88059997558594,81.28428649902344,63.512115478515625,68.5530014038086,44.53071212768555,75.82430267333984
2023-06-05,177.42626953125,329.6363525390625,125.1468505859375,125.30000305175781,39.14065170288086,269.72723388671875,217.61000061035156,77.40886688232422,103.85197448730469,434.17999267578125,207.67543029785156,46.7105712890625,293.13153076171875,117.93000030517578,29.263525009155273,107.23582458496094,157.77281188964844,121.98499298095703,435.8040771484375,130.8132781982422,66.96056365966797,59.00163650512695,168.27105712890625,447.71173095703125,450.1600036621094,328.5799865722656,131.1548309326172,222.56936645507812,365.2261657714844,26.902408599853516,37.932762145996094,76.9356460571289,304.38299560546875,371.4822692871094,636.940673828125,162.45875549316406,42.32976150512695,52.52406692504883,185.25003051757812,170.59466552734375,125.46076965332031,306.70489501953125,168.3440704345703,104.95082092285156,104.71339416503906,476.48260498046875,147.58692932128906,436.3680419921875,124.92363739013672,104.83312225341797,514.6942138671875,98.81455993652344,204.07901000976562,33.144779205322266,58.707679748535156,205.29234313964844,71.06879425048828,64.03585815429688,251.2083282470703,77.1383285522461,317.489990234375,746.1318969726562,334.4200134277344,166.45416259765625,462.9847106933594,48.61965560913086,277.29412841796875,273.7178649902344,101.01709747314453,499.3079528808594,136.9964599609375,56.327606201171875,170.78236389160156,196.84170532226562,93.85208129882812,76.25496673583984,2632.790283203125,172.9021759033203,80.22509765625,69.54729461669922,96.5311050415039,139.661865234375,94.03433227539062,43.415950775146484,102.20272064208984,146.76397705078125,90.53728485107422,176.06492614746094,213.5345458984375,208.77999877929688,188.83517456054688,81.99098205566406,427.7452697753906,351.0162048339844,75.38009643554688,81.71934509277344,63.73160171508789,68.31163787841797,45.1023063659668,76.32404327392578
2023-06-06,177.06072998046875,327.4188232421875,126.43795013427734,126.61000061035156,38.62405014038086,269.4588317871094,221.30999755859375,76.22210693359375,104.01708984375,432.8900146484375,210.63430786132812,46.33845138549805,296.5880432128906,124.2300033569336,30.341550827026367,110.68891143798828,157.865478515625,122.03099060058594,441.3642883300781,131.01870727539062,66.73330688476562,59.643672943115234,171.14642333984375,450.59515380859375,443.8399963378906,333.4100036621094,131.3905792236328,223.9925079345703,374.5313415527344,27.55281639099121,38.692359924316406,78.88340759277344,309.102783203125,372.54327392578125,644.8779296875,166.71841430664062,43.226890563964844,52.71713638305664,185.5404815673828,169.92062377929688,126.20946502685547,306.7146911621094,166.60885620117188,105.06708526611328,107.61461639404297,466.3252868652344,147.4563751220703,435.1991882324219,123.61833190917969,101.9599838256836,512.3914794921875,97.7289047241211,205.4184112548828,32.90465545654297,58.262794494628906,204.68167114257812,69.67888641357422,63.82765197753906,252.831787109375,77.01856231689453,315.7200012207031,744.0136108398438,330.4100036621094,165.50086975097656,447.7294921875,48.613162994384766,280.0377502441406,270.02630615234375,101.9677505493164,497.3906555175781,135.6353302001953,55.919639587402344,168.34381103515625,197.20346069335938,92.24609375,76.07125854492188,2669.60009765625,176.49252319335938,81.62379455566406,68.6017837524414,97.3195571899414,139.91331481933594,93.91456604003906,44.34150695800781,103.26455688476562,146.53663635253906,92.13528442382812,175.3148956298828,217.575439453125,207.2899932861328,186.5832061767578,83.06214141845703,431.4518127441406,360.7074890136719,75.61859130859375,81.34772491455078,63.4389533996582,68.11670684814453,46.102596282958984,75.81522369384766
2023-06-07,175.6873779296875,317.31207275390625,121.660888671875,121.2300033569336,37.44983673095703,261.9849548339844,224.57000732421875,76.47586059570312,102.22034454345703,418.32000732421875,203.58840942382812,46.31053924560547,299.4669189453125,117.83000183105469,30.655162811279297,109.5664291381836,159.3852081298828,123.58523559570312,415.6494140625,132.0653533935547,66.2590560913086,59.505332946777344,173.45440673828125,453.2928771972656,435.32000732421875,335.4200134277344,132.66355895996094,221.09718322753906,366.0837707519531,27.788471221923828,39.45195007324219,79.47138214111328,317.5680847167969,367.6407165527344,643.2749633789062,166.4564666748047,43.95008087158203,53.70178985595703,186.47972106933594,168.40878295898438,127.22069549560547,306.606689453125,164.9821014404297,104.95082092285156,109.07484436035156,461.122314453125,147.77334594726562,428.61822509765625,124.59502410888672,100.66242218017578,516.8776245117188,96.81466674804688,207.93087768554688,33.3505859375,57.97806167602539,204.70944213867188,69.56916046142578,64.70573425292969,251.4773406982422,76.36447143554688,307.239990234375,734.5560913085938,324.6499938964844,159.1197509765625,443.4217834472656,48.684566497802734,285.430419921875,267.5209655761719,102.83194732666016,492.5445556640625,135.9263458251953,55.83618927001953,166.9993438720703,201.058837890625,91.96434020996094,75.52974700927734,2606.58837890625,172.93142700195312,82.18505096435547,67.58134460449219,99.50157165527344,143.54159545898438,96.5586166381836,45.45594787597656,106.4134750366211,149.95542907714844,93.22267150878906,177.1453857421875,226.08920288085938,211.92999267578125,191.4292755126953,83.55046081542969,434.386962890625,368.5550231933594,77.70349884033203,82.99734497070312,64.13397216796875,68.85004425048828,47.3797492980957,76.85104370117188
2023-06-08,178.4044189453125,319.15679931640625,121.3033676147461,124.25,38.48414993286133,262.9589538574219,234.86000061035156,77.5921630859375,104.38615417480469,439.0299987792969,207.34886169433594,46.217506408691406,295.9044189453125,121.05000305175781,31.184371948242188,110.67938232421875,159.59832763671875,123.61280822753906,416.633544921875,133.22943115234375,64.53984069824219,59.87164306640625,174.71417236328125,463.16485595703125,437.69000244140625,335.95001220703125,132.70127868652344,218.9182891845703,362.3380126953125,27.55281639099121,39.73328399658203,79.29682159423828,317.30328369140625,375.4711608886719,645.50390625,166.05860900878906,44.032466888427734,53.12258529663086,185.52113342285156,169.77615356445312,127.4540786743164,307.2154846191406,168.61903381347656,107.1598892211914,107.23995971679688,468.869384765625,149.39540100097656,437.74322509765625,125.63558197021484,102.24728393554688,511.3890380859375,95.97659301757812,206.08372497558594,33.52210235595703,58.11152267456055,204.2560577392578,71.69060516357422,64.95013427734375,254.09017944335938,76.55792999267578,310.82000732421875,745.9827270507812,332.5799865722656,159.8201446533203,450.7791748046875,49.38887405395508,284.8533020019531,271.20306396484375,101.97734069824219,501.0807800292969,137.46583557128906,55.97526931762695,168.84449768066406,200.34483337402344,93.11951446533203,75.19132232666016,2609.82177734375,174.13145446777344,82.11378479003906,68.42389678955078,99.18985748291016,143.01170349121094,96.30987548828125,44.81372833251953,106.32193756103516,149.93792724609375,93.68600463867188,176.93109130859375,225.03338623046875,218.11000061035156,190.982666015625,83.54258728027344,436.66357421875,367.5414733886719,77.51885986328125,83.3870849609375,65.00276184082031,69.52767944335938,47.59409713745117,76.94188690185547
2023-06-09,178.7897186279297,320.6581115722656,121.39274597167969,123.43000030517578,38.74397277832031,263.32666015625,244.39999389648438,77.63269805908203,106.68792724609375,454.0,213.0686798095703,46.19890213012695,297.2427978515625,124.91999816894531,30.713960647583008,113.30487823486328,158.07859802246094,124.43133544921875,424.6934509277344,133.15115356445312,64.64852905273438,59.097110748291016,175.4642791748047,455.1401672363281,438.7799987792969,335.2900085449219,132.9652862548828,219.41880798339844,363.94476318359375,27.59052085876465,39.508216857910156,79.20494842529297,317.8235168457031,377.2789306640625,649.1270751953125,166.62139892578125,44.21556091308594,53.09362030029297,185.08541870117188,171.64427185058594,127.27902221679688,308.6195068359375,168.06442260742188,106.53981018066406,107.10546112060547,472.11163330078125,149.16233825683594,438.116455078125,126.12848663330078,102.60874938964844,514.2970581054688,96.8432388305664,206.04872131347656,33.41919708251953,57.657737731933594,202.4055938720703,71.4345703125,64.95918273925781,255.40618896484375,77.1383285522461,312.760009765625,742.402587890625,334.1099853515625,158.64309692382812,454.559326171875,49.687469482421875,281.31494140625,272.1615295410156,101.65087127685547,498.3734130859375,137.57847595214844,56.067989349365234,169.0762939453125,199.06927490234375,92.00189971923828,76.73845672607422,2569.079345703125,174.6485595703125,82.48796081542969,68.31155395507812,98.4563980102539,142.67044067382812,95.71104431152344,44.889286041259766,106.4134750366211,149.07229614257812,93.93184661865234,176.69891357421875,225.590087890625,217.30999755859375,189.7283935546875,83.72373962402344,435.2712097167969,365.7074279785156,76.85723114013672,82.95201110839844,65.16737365722656,68.75721740722656,47.41547775268555,76.03329467773438
2023-06-12,181.58575439453125,325.62310791015625,122.79307556152344,126.56999969482422,39.45549392700195,269.3893127441406,249.8300018310547,82.52828979492188,113.07852935791016,474.6300048828125,211.465576171875,46.96175003051758,299.90020751953125,129.19000244140625,32.409400939941406,116.18720245361328,161.2755889892578,125.46134185791016,439.03192138671875,136.95631408691406,66.64440155029297,61.137203216552734,180.46490478515625,464.6994934082031,446.0400085449219,333.6000061035156,132.9558563232422,221.98048400878906,369.9477233886719,27.458553314208984,39.22688674926758,80.33500671386719,321.1055603027344,378.5169372558594,647.2111206054688,168.484375,44.352874755859375,52.099327087402344,184.50445556640625,171.99095153808594,127.07483673095703,312.29168701171875,163.0726776123047,105.1252212524414,107.43209838867188,471.12652587890625,149.059814453125,437.3994140625,125.71776580810547,101.8209457397461,519.7658081054688,96.56704711914062,208.3948516845703,34.21673583984375,57.62215042114258,201.11029052734375,71.19683074951172,64.72383117675781,256.47247314453125,77.64502716064453,313.6400146484375,749.8511962890625,340.6000061035156,161.03602600097656,457.1793212890625,50.015281677246094,284.6357116699219,273.85076904296875,102.58230590820312,501.92852783203125,136.4989471435547,55.8269157409668,168.6590576171875,203.10546875,92.47149658203125,77.38632202148438,2568.30078125,176.5315399169922,82.54141235351562,68.16177368164062,97.56710815429688,141.29638671875,94.72528839111328,44.407615661621094,104.28063201904297,149.95542907714844,94.00748443603516,177.24362182617188,228.34481811523438,221.55999755859375,189.0537567138672,83.6686019897461,432.61834716796875,373.6805114746094,77.90352630615234,82.83419036865234,64.78327178955078,68.6736831665039,46.88853454589844,76.04237365722656
2023-06-13,181.1115264892578,328.0173645019531,122.9817886352539,126.66000366210938,40.99445724487305,269.6576232910156,258.7099914550781,82.11920166015625,113.32130432128906,478.989990234375,206.80459594726562,47.25944137573242,303.4433898925781,124.52999877929688,33.23262405395508,118.36560821533203,164.39842224121094,126.54656219482422,440.43927001953125,138.69747924804688,67.05936431884766,61.111305236816406,184.99432373046875,469.0588684082031,449.9800109863281,336.3900146484375,133.91769409179688,219.26181030273438,366.0738525390625,27.713062286376953,39.99585723876953,81.10675811767578,323.9525451660156,383.7241516113281,653.5752563476562,169.93983459472656,44.57258224487305,52.85228729248047,185.8019256591797,170.796875,128.03746032714844,313.1361083984375,161.60877990722656,105.5999755859375,109.1805419921875,469.9023132324219,149.8428497314453,437.8021240234375,126.24718475341797,101.9414291381836,522.1080322265625,97.005126953125,211.21371459960938,34.542598724365234,57.62215042114258,205.39413452148438,71.736328125,65.41180419921875,261.5252380371094,78.99932098388672,315.45001220703125,763.11767578125,342.1000061035156,161.48348999023438,453.0704345703125,50.404762268066406,283.89776611328125,273.831787109375,102.53428649902344,502.9401550292969,136.17037963867188,56.04945373535156,168.32525634765625,206.90370178222656,93.22283935546875,78.3532943725586,2576.886962890625,176.99009704589844,83.1205062866211,68.0775146484375,97.58543395996094,142.35610961914062,95.26882934570312,45.2953987121582,103.18216705322266,151.1708221435547,94.26280212402344,179.5740966796875,235.58197021484375,220.3800048828125,189.0252227783203,84.0702896118164,425.562744140625,384.404541015625,79.04216003417969,82.2631607055664,64.42660522460938,69.01714324951172,46.78136444091797,75.5335464477539
2023-06-14,181.7438507080078,331.01007080078125,122.82289123535156,126.41999816894531,42.968135833740234,271.6751708984375,256.7900085449219,85.50191497802734,118.75041198730469,479.5299987792969,207.22023010253906,47.40829849243164,303.33746337890625,127.33000183105469,34.869266510009766,117.38579559326172,164.1297149658203,126.17868041992188,439.13037109375,138.0910186767578,68.29444122314453,61.54994583129883,184.53271484375,469.69415283203125,446.04998779296875,335.8999938964844,133.41795349121094,219.30104064941406,369.4056396484375,27.449125289916992,39.461334228515625,80.83113861083984,320.0935363769531,386.2098693847656,656.7620849609375,169.28973388671875,44.16062927246094,52.466148376464844,182.8486785888672,171.49981689453125,123.4188461303711,317.1126708984375,165.03663635253906,107.64252471923828,107.91242980957031,439.8226318359375,150.6072540283203,439.7666015625,124.34856414794922,101.38162231445312,516.5662231445312,98.32887268066406,208.7449951171875,33.75364685058594,57.08828353881836,205.6624298095703,71.96713256835938,60.33346939086914,253.37928771972656,80.98927307128906,323.07000732421875,766.85693359375,340.9599914550781,161.13331604003906,421.8428649902344,50.914329528808594,283.5476989746094,273.7273864746094,108.37252807617188,507.93084716796875,137.44705200195312,56.42959976196289,169.83660888671875,204.53338623046875,94.53768920898438,77.26060485839844,2572.6875,177.03887939453125,82.90667724609375,68.46134185791016,96.41191864013672,141.08082580566406,94.58708953857422,44.64373016357422,101.30563354492188,152.91082763671875,91.58685302734375,179.0472869873047,233.54713439941406,216.89999389648438,192.64553833007812,82.46355438232422,425.73211669921875,385.1864013671875,78.43438720703125,82.3447494506836,64.45407104492188,68.13528442382812,46.94212341308594,75.96968841552734
2023-06-15,183.77914428710938,341.5682373046875,124.233154296875,127.11000061035156,42.624366760253906,280.1032409667969,255.89999389648438,85.23658752441406,122.90719604492188,490.9100036621094,209.71397399902344,48.310691833496094,311.7332763671875,124.23999786376953,35.104469299316406,117.58556365966797,165.028564453125,127.28228759765625,449.06005859375,137.05413818359375,67.99801635742188,60.667781829833984,182.3882293701172,461.91375732421875,446.3699951171875,339.82000732421875,134.9266357421875,221.98048400878906,373.62445068359375,27.684782028198242,39.723907470703125,81.81419372558594,321.342041015625,392.979248046875,674.5362548828125,168.64930725097656,44.45357894897461,53.58594512939453,186.0391387939453,173.8397674560547,124.80929565429688,325.055908203125,165.6821746826172,109.30574035644531,107.2591781616211,447.4190979003906,152.63014221191406,445.86627197265625,124.03824615478516,102.07205200195312,531.4537353515625,100.01451873779297,213.17465209960938,34.08809280395508,57.54206466674805,211.36195373535156,72.9365463256836,62.91337585449219,258.8739929199219,81.3025131225586,328.2699890136719,778.7509765625,349.0799865722656,166.75572204589844,436.7315673828125,51.19344711303711,285.733154296875,277.6846923828125,107.9404296875,509.83843994140625,139.35263061523438,57.205039978027344,172.19174194335938,208.4077606201172,95.2138900756836,78.78843688964844,2633.71728515625,172.3753204345703,84.39447784423828,68.77027130126953,97.08119201660156,142.1495819091797,95.9505615234375,45.23872756958008,102.24846649169922,156.5132598876953,92.66480255126953,181.91355895996094,237.72242736816406,219.41000366210938,195.66720581054688,83.02277374267578,428.9306640625,392.3968505859375,79.86537170410156,83.10609436035156,64.71011352539062,69.02642059326172,47.21898651123047,77.12362670898438
2023-06-16,182.70220947265625,335.90643310546875,122.68384552001953,125.48999786376953,42.663333892822266,279.2783203125,260.5400085449219,83.7584457397461,121.84859466552734,495.17999267578125,209.55563354492188,48.44093322753906,307.6605224609375,120.08000183105469,35.64347839355469,116.70089721679688,163.79611206054688,126.4361801147461,447.8004150390625,135.89987182617188,66.85189056396484,59.85203552246094,181.13807678222656,454.3973693847656,441.19000244140625,338.30999755859375,135.08694458007812,224.66973876953125,371.1502990722656,27.51511001586914,39.555110931396484,80.93219757080078,319.9895324707031,388.2927551269531,666.5596923828125,167.09683227539062,44.1148567199707,52.51441955566406,189.61871337890625,174.43678283691406,126.39421081542969,323.4064025878906,167.40065002441406,108.62489318847656,105.74132537841797,440.31243896484375,153.09625244140625,439.75677490234375,126.54840850830078,101.99740600585938,533.6287231445312,101.13825988769531,211.6776885986328,34.353939056396484,58.86783981323242,212.49072265625,72.80728912353516,61.30207061767578,258.239990234375,82.13164520263672,329.3599853515625,778.7310791015625,347.8900146484375,166.08453369140625,428.4944763183594,50.47940444946289,284.1816101074219,278.7191162109375,109.07350158691406,504.5106201171875,140.37583923339844,57.61611557006836,172.49766540527344,206.64666748046875,95.67408752441406,78.57569885253906,2603.44384765625,172.06312561035156,84.53701782226562,68.87325286865234,96.38441467285156,141.23353576660156,96.65995025634766,45.12539291381836,103.81379699707031,156.14601135253906,92.4189453125,181.2349395751953,235.4188232421875,219.99000549316406,194.47946166992188,83.71587371826172,431.9598388671875,393.4683532714844,80.42698669433594,83.55023193359375,65.6246109008789,70.16818237304688,47.629825592041016,77.16905975341797
2023-06-20,182.7911376953125,331.7067565917969,122.25677490234375,125.77999877929688,43.778587341308594,282.587890625,274.45001220703125,83.75074005126953,118.52702331542969,485.8599853515625,214.71141052246094,47.95717239379883,305.6000671386719,118.93000030517578,34.30084991455078,113.98027038574219,161.57211303710938,125.03829956054688,447.8988342285156,135.4988250732422,66.10096740722656,60.01128387451172,180.77261352539062,453.96734619140625,435.5,338.6700134277344,134.39859008789062,222.27493286132812,369.267578125,27.213470458984375,39.28314971923828,79.68270111083984,312.810546875,384.9817199707031,655.3394165039062,164.37997436523438,43.58390808105469,52.06071090698242,187.9943084716797,174.3404998779297,125.8983154296875,322.9842224121094,166.10952758789062,109.10148620605469,104.82867431640625,450.78033447265625,153.00303649902344,443.9214782714844,125.7999038696289,102.84646606445312,523.7964477539062,101.61443328857422,207.12548828125,33.73649597167969,58.752166748046875,211.50071716308594,71.74555969238281,62.16202926635742,259.41192626953125,81.93818664550781,327.8299865722656,776.9012451171875,342.69000244140625,164.30442810058594,423.3897705078125,50.034751892089844,285.156005859375,278.0927429199219,105.18453979492188,500.7049865722656,139.08041381835938,57.233062744140625,171.82081604003906,205.1045379638672,95.11058044433594,77.73443603515625,2599.16552734375,169.55575561523438,84.47466278076172,68.58305358886719,94.17489624023438,138.01837158203125,93.99746704101562,44.63427734375,100.99439239501953,155.0005645751953,92.3811264038086,178.9401397705078,231.46426391601562,212.3699951171875,191.35325622558594,81.92797088623047,431.21661376953125,393.8061828613281,78.70364379882812,82.43537139892578,64.32601928710938,69.39773559570312,47.486915588378906,76.814697265625
2023-06-21,181.7537384033203,327.3010559082031,119.72425079345703,124.83000183105469,43.01610565185547,279.9144287109375,259.4599914550781,82.2210693359375,118.5853042602539,477.4800109863281,207.40821838378906,47.30596923828125,301.5562744140625,112.11000061035156,32.2427978515625,110.11815643310547,157.9766845703125,122.95064544677734,443.3719177246094,133.68919372558594,65.01409912109375,59.182830810546875,178.3300323486328,446.1282958984375,426.3399963378906,338.6099853515625,134.20057678222656,223.0404815673828,370.765869140625,26.930683135986328,39.05809783935547,79.32440185546875,307.4664611816406,382.2995300292969,653.52783203125,162.93421936035156,43.40081787109375,52.099327087402344,188.62655639648438,174.46568298339844,126.98735046386719,323.867919921875,165.11846923828125,108.15802001953125,104.0217056274414,457.8485412597656,152.76998901367188,444.95281982421875,124.92363739013672,103.71417999267578,522.3563232421875,101.18588256835938,208.09719848632812,33.35917282104492,58.28057861328125,210.0666046142578,71.65322875976562,62.25254821777344,263.0430603027344,81.36698150634766,323.739990234375,774.4746704101562,343.2799987792969,165.24795532226562,430.2540283203125,50.13212585449219,284.48431396484375,279.49725341796875,105.6070556640625,500.6278381347656,140.281982421875,57.39188766479492,171.93211364746094,203.95269775390625,95.67408752441406,78.19857788085938,2606.214111328125,171.8289794921875,85.83773040771484,68.470703125,95.22923278808594,139.0960693359375,95.53599548339844,45.10649490356445,101.48870849609375,151.81784057617188,93.67654418945312,180.190185546875,231.78097534179688,212.0800018310547,193.51022338867188,82.73921203613281,438.42266845703125,402.1170349121094,78.06509399414062,83.06983947753906,65.5148696899414,70.34455108642578,47.59409713745117,77.64154052734375
2023-06-22,184.7572784423828,333.3356628417969,122.30644989013672,130.14999389648438,42.99611282348633,283.134521484375,264.6099853515625,81.7137680053711,117.10906982421875,477.5799865722656,211.0697021484375,47.55714416503906,295.82745361328125,110.69999694824219,32.05659484863281,110.72695922851562,159.968994140625,120.63307189941406,443.67694091796875,135.89007568359375,65.45872497558594,60.5573844909668,178.9743194580078,456.83111572265625,426.1300048828125,336.9599914550781,131.6168975830078,224.1593780517578,372.40216064453125,26.355682373046875,38.50480651855469,77.6338882446289,302.27374267578125,381.44476318359375,644.36572265625,163.26409912109375,42.6867790222168,51.365657806396484,189.813232421875,175.85235595703125,128.11524963378906,327.34368896484375,165.57308959960938,107.6522445678711,102.70558166503906,460.05731201171875,154.39202880859375,449.5496826171875,125.42567443847656,106.10269165039062,524.7001953125,103.09056091308594,206.93289184570312,33.21337890625,58.10262680053711,212.49072265625,72.11486053466797,62.831905364990234,264.48394775390625,81.16272735595703,327.6199951171875,775.5089111328125,348.1600036621094,165.5203399658203,434.933349609375,50.55081558227539,284.93841552734375,278.3395080566406,106.06797790527344,505.04058837890625,140.76071166992188,57.78428649902344,173.7123260498047,204.4953155517578,94.71613311767578,78.78843688964844,2639.828857421875,171.40945434570312,86.38843536376953,69.03240966796875,94.7066421508789,137.08433532714844,93.44470977783203,44.23762130737305,99.09040069580078,149.85052490234375,91.64359283447266,179.1633758544922,227.8072967529297,205.61000061035156,193.24415588378906,82.55805969238281,435.9673767089844,401.248291015625,77.26498413085938,82.39006805419922,65.2039566040039,69.74119567871094,47.3350944519043,77.32353210449219
2023-06-23,184.4411163330078,328.7336120605469,121.5019760131836,129.3300018310547,42.180667877197266,286.9609680175781,256.6000061035156,79.74665832519531,115.2248764038086,484.7200012207031,207.90304565429688,46.82220458984375,287.3353271484375,110.01000213623047,32.34080505371094,107.9017105102539,155.3820343017578,119.03285217285156,445.49755859375,133.10223388671875,64.50030517578125,59.472007751464844,178.81085205078125,446.6365966796875,419.55999755859375,335.25,130.9285430908203,225.2978973388672,374.3834533691406,26.15773582458496,38.08280563354492,76.78866577148438,297.66748046875,383.52764892578125,645.3805541992188,163.07977294921875,42.12836837768555,51.327049255371094,187.96511840820312,176.9211883544922,129.09730529785156,325.4191589355469,165.18209838867188,108.05104064941406,102.40778350830078,458.0885925292969,154.26150512695312,450.68902587890625,124.06558990478516,106.92375183105469,520.6283569335938,102.90010833740234,208.50865173339844,32.84463119506836,57.87129211425781,210.13134765625,71.52397918701172,63.0038948059082,264.02288818359375,81.22771453857422,327.260009765625,775.4293212890625,347.0,163.77911376953125,435.44573974609375,50.456687927246094,284.5884094238281,275.1224365234375,105.16533660888672,505.2717590332031,139.36203002929688,57.1770133972168,172.52549743652344,204.87606811523438,92.35879516601562,79.34927368164062,2586.62646484375,167.2727813720703,86.93913269042969,68.43325805664062,93.88151550292969,135.9258270263672,92.55108642578125,44.00150680541992,97.78140258789062,148.02304077148438,91.63414001464844,178.66334533691406,225.0238037109375,205.41000366210938,189.9374542236328,81.73896026611328,432.1385498046875,390.3988037109375,77.48809814453125,81.32052612304688,64.42660522460938,68.85004425048828,46.281211853027344,75.86063385009766
2023-06-26,183.0480194091797,322.43414306640625,117.52937316894531,127.33000183105469,40.60472106933594,276.76385498046875,241.0500030517578,79.69622802734375,113.4184341430664,479.510009765625,205.2014617919922,46.7105712890625,286.3532409667969,107.51000213623047,32.67401123046875,110.94575500488281,156.3735809326172,120.78941345214844,446.09783935546875,136.7509002685547,64.66828155517578,60.602333068847656,179.19552612304688,448.2004699707031,417.2099914550781,334.1199951171875,131.2491455078125,222.1080780029297,372.027587890625,26.478227615356445,38.064056396484375,76.79784393310547,295.4447326660156,380.2362976074219,645.1148681640625,162.1482696533203,42.32976150512695,51.55873107910156,185.572265625,176.198974609375,128.29998779296875,324.3980712890625,162.65443420410156,107.11730194091797,102.042724609375,460.06695556640625,152.5369110107422,444.71710205078125,123.18019104003906,105.50556182861328,518.4632568359375,103.33815002441406,208.24603271484375,31.635469436645508,57.648834228515625,207.9292755126953,70.68382263183594,63.23020935058594,265.5213928222656,80.78201293945312,325.1600036621094,780.0537719726562,347.45001220703125,162.97178649902344,433.869873046875,50.32362365722656,291.2865905761719,274.34423828125,107.29707336425781,504.28900146484375,139.50283813476562,57.19569778442383,171.43141174316406,207.484375,92.25548553466797,79.02050018310547,2578.572509765625,167.331298828125,87.36344909667969,68.55496215820312,95.61428833007812,138.314697265625,93.89494323730469,44.72872543334961,100.69232940673828,151.0483856201172,91.29373168945312,180.8866729736328,227.43296813964844,205.5800018310547,191.30577087402344,82.26665496826172,425.9673156738281,395.93939208984375,77.24960327148438,82.3356704711914,65.59718322753906,68.96144104003906,47.14753723144531,76.12415313720703
