unemployment,cpi,gdp,dff,consumer
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.0,
,,,0.5,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.25,
,,,0.75,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
4.7,26.79,421.532,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.44,
,,,1.38,
,,,1.38,
,,,1.38,
,,,1.5,
,,,1.25,
,,,1.5,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.38,
,,,1.0,
,,,0.5,
,,,1.5,
,,,1.69,
,,,1.69,
4.3,26.77,,1.69,99.1
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.63,
,,,1.5,
,,,1.5,
,,,1.5,
,,,1.25,
,,,0.75,
,,,1.0,
,,,1.69,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,0.5,
,,,0.5,
,,,1.5,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.5,
,,,1.5,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
4.2,26.71,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.63,
,,,1.63,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.5,
,,,1.5,
,,,1.5,
,,,1.63,
,,,1.63,
,,,1.38,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
4.0,26.76,430.221,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.69,
,,,1.63,
,,,1.63,
,,,1.69,
,,,1.69,
,,,1.75,
,,,1.75,
,,,1.75,
4.2,26.72,,1.69,
,,,1.69,
,,,1.69,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,1.94,
,,,1.94,
,,,1.94,
,,,1.94,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,1.94,
,,,1.94,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
