Model,RMSE,MAE,MAPE,R² Score
ARIMA,11.156958587141927,9.715228463921267,3.08%,-0.873358482250223
Prophet,5.229903575968359,4.371936847800459,1.39%,0.5883609069753364
LSTM,6.541009866607177,6.394454927884615,2.02%,-0.5564232687883199
