Model,RMSE,MAE,MAPE,R² Score
ARIMA,0.42848056265044543,0.36689624498073564,9.83%,-1.1872125704973668
Prophet,1.3649381262938611,1.3378761243836568,34.88%,-21.19497559569096
LSTM,0.2734655016183045,0.2541971133305477,6.35%,-1.07101865091918
