Strategy,Return,Volatility,Sharpe
Max Sharpe,0.3287759145974232,0.1488801301699554,2.0739900901815265
Min Volatility,0.14375066009088486,0.11037937282803816,1.1211393661719573
Equal Weight,0.17042460184278838,0.15592997909527676,0.9646932726828338
